Date/Time;Environment:Site Outdoor Air Drybulb Temperature [C](Daily);Environment:Site Outdoor Air Relative Humidity [%](Daily);BEZERREIRO:Zone Operative Temperature [C](Daily);CIRCULA:Zone Operative Temperature [C](Daily);BEZERREIRO:Zone Air Relative Humidity [%](Daily);CIRCULA:Zone Air Relative Humidity [%](Daily) 
 03/24;18,968229166666665;75,875;26,352045471315269;25,670490331690769;78,0749947374401;81,23790020971772 
 03/25;21,56302083333334;75,859375;26,66668288520459;26,01530736340156;76,71671345700124;79,69363308505942 
 03/26;21,980729166666664;69,46354166666667;27,11033145967457;26,54574421184846;74,93172973929983;77,4398061474118 
 03/27;23,246875;86,75;27,729326189544016;27,228955751197196;72,01668459165394;74,12147880744846 
 03/28;24,518229166666669;86,40625;28,504607958627547;28,03028430347872;68,50357641412153;70,38136476196508 
 03/29;23,129166666666664;77,19791666666667;28,929303632968204;28,496666672511734;66,71515848581108;68,3679216907651 
 03/30;22,23229166666667;75,046875;28,419719573918866;28,001743066732787;68,35775090270836;70,03494740934193 
 03/31;20,463541666666669;78,18229166666667;27,416235658151974;26,986287953603257;72,96079212725415;74,81602408817675 
 04/01;21,256770833333339;91,95833333333333;26,736166738008479;26,255708454855215;76,34758892153362;78,51234219449386 
 04/02;22,671354166666665;83,734375;26,407056705347534;25,90825521162734;77,93349500407567;80,23496034695622 
 04/03;23,209895833333336;85,44791666666667;26,124452934110136;25,68479222624215;79,16760952398625;81,24153449484185 
 04/04;24,00989583333333;77,609375;26,147814991947795;25,762646133565469;78,93681966533717;80,74391970955897 
 04/05;24,663020833333336;68,65625;26,62902138314838;26,296963662258294;76,65260375916097;78,1368849693399 
 04/06;24,492187500000005;69,796875;25,90970681379402;25,66505269516969;79,6516517878507;80,83787567106124 
 04/07;23,155208333333339;64,29166666666667;26,286469239862027;26,071113834344513;77,9915140400134;78,96263302460278 
 04/08;21,58802083333333;64,21875;26,637615553588934;26,426756326793386;75,93629720541368;76,86107235303665 
 04/09;21,742708333333338;65,19791666666667;26,18205346789469;25,9090488744442;78,00656923287564;79,2730875483098 
 04/10;19,920833333333339;76,71875;26,077826761105617;25,747571325692019;78,97421944897528;80,50120680166383 
 04/11;20,989583333333333;76,58854166666667;25,287656582773825;24,956298597289984;82,41684087089156;84,0556088494315 
 04/12;20,8046875;92,21354166666667;24,867902873308326;24,538223214218104;83,93572243346859;85,59037276127963 
 04/13;14,115104166666669;95,84895833333333;23,022439198234009;22,60425751689692;94,94563033595029;97,05147630592096 
 04/14;14,894791666666663;67,18229166666667;22,111342262868236;21,519534154899224;94,72667402841108;95,19608736266498 
 04/15;15,766666666666664;70,41666666666667;21,79728938370742;21,146390311131154;90,88195690756486;91,23945321566539 
 04/16;19,35052083333333;81,203125;21,887609134248554;21,260323267231227;88,97891540604472;89,2234285083266 
 04/17;21,124479166666668;81,46354166666667;22,732410684592563;22,18558667057813;84,29549915978963;84,10145245057815 
 04/18;20,40416666666667;72,89583333333333;23,414247344385904;22,97443698475588;80,80642426614029;80,07976805310928 
 04/19;19,149479166666667;75,61458333333333;23,94982091090475;23,543817281013806;78,6612266823613;77,77257305170265 
 04/20;16,906770833333334;88,90104166666667;23,917891460717898;23,472506158004788;79,03558016393794;78,3391367818074 
 04/21;17,85989583333333;95,20833333333333;24,024617181698713;23,55632681348567;78,21735730713889;77,63559607753871 
 04/22;16,093229166666668;93,16666666666667;23,838666146154976;23,348377879436659;79,28313417032259;78,79149328777049 
 04/23;14,968229166666669;87,25;23,5756138122595;23,02552746590466;80,71933674258055;80,50945957297495 
 04/24;14,997395833333334;71,75520833333333;23,335067898611358;22,74163942556432;81,92222633277658;81,92397257731396 
 04/25;15,115625;64,84375;22,975991541378308;22,349007430392274;83,59652663194957;83,78635787000936 
 04/26;15,624479166666662;96,90104166666667;22,373938616633283;21,71409374104735;86,70750649213358;87,09071531339838 
 04/27;17,331250000000009;86,41666666666667;21,84763712009257;21,18910927745475;89,58460039423868;90,00075674189891 
 04/28;18,190104166666666;96,25;21,521083486044704;20,910732468871815;91,2978023012286;91,47475334300903 
 04/29;18,220312500000003;69,375;21,581905259887099;21,015688191808097;90,61933314349041;90,53898223969788 
 04/30;17,93645833333333;70,546875;21,350650361381484;20,84322204031532;91,379960526913;90,98164169514252 
 05/01;18,0421875;84,24479166666667;21,012595114924843;20,559781229591424;92,65311601108648;91,96269479361051 
 05/02;16,972916666666668;97,859375;20,655052204646809;20,213444871239188;95,04498030101625;95,03028133319229 
 05/03;17,60208333333333;86,52604166666667;19,802101095805545;19,345753091500567;96,61285373541188;96,92321571364532 
 05/04;18,794791666666666;96,6875;19,13553869550913;18,731586036780369;98,73333772590422;98,75568166867748 
 05/05;18,984375;86,86979166666667;18,680658644309696;18,352658593586069;98,85721308328012;98,86874685545456 
 05/06;20,158333333333336;78,265625;18,323728045214659;18,064086085694048;95,46998366469427;95,56847110448303 
 05/07;18,49427083333333;80,38020833333333;19,055473685189175;18,862133389654667;89,92021759938443;89,9726549063613 
 05/08;17,861458333333336;87,80729166666667;19,116113665267436;18,93102830151324;88,94362397535024;89,08346661580139 
 05/09;15,780729166666666;84,63020833333333;19,06689609111274;18,852346150215199;89,41295556544674;89,69504088372122 
 05/10;15,836979166666668;88,125;19,26407447969386;19,004273905723318;88,80500164033492;89,32297269061017 
 05/11;17,102083333333334;88,90625;19,67853556513437;19,391812280617598;86,38015067116534;87,03201283483166 
 05/12;16,882291666666665;89,92708333333333;19,94074429605376;19,655658683141089;84,57812477269921;85,19906841545562 
 05/13;17,82135416666667;87,97395833333333;20,336141510957054;20,047006010182849;82,40213972366417;83,03491829363746 
 05/14;17,13645833333333;91,52604166666667;19,89565137532146;19,625133002785959;84,79208004693291;85,36521634714296 
 05/15;15,959895833333333;82,57291666666667;19,746904254781819;19,49027077009377;85,49696439337017;85,98951225385217 
